geocode,etiqueta,granularidad,longitud,latitud
417,Kirguistán,PAISES,74.5847,41.4529
418,La República Democrática Popular Lao,PAISES,101.9624,20.2365
422,Líbano,PAISES,35.8942,33.9289
426,Lesotho,PAISES,28.2551,-29.5776
428,Letonia,PAISES,26.382,56.6829
430,Liberia,PAISES,-9.3276,6.4433
434,Libia,PAISES,18.0429,27.0102
438,Liechtenstein,PAISES,9.5534,47.1383
440,Lituania,PAISES,23.9197,55.3351
442,Luxemburgo,PAISES,6.0943,49.771
446,Macao,PAISES,113.5458,22.1975
450,Madagascar,PAISES,46.6955,-19.408
454,Malawi,PAISES,35.1203,-15.2608
458,Malasia,PAISES,114.4128,2.8757
462,Maldivas,PAISES,73.2207,3.8486
466,Malí,PAISES,-3.5043,17.3709
470,Malta,PAISES,14.4312,35.886
478,Mauritania,PAISES,-10.3164,20.2616
480,Mauricio,PAISES,57.576,-20.2772
484,México,PAISES,-102.5173,23.9467
492,Mónaco,PAISES,7.4188,43.7342
496,Mongolia,PAISES,103.0489,46.8315
498,La República de Moldova,PAISES,28.4593,47.2109
499,Montenegro,PAISES,19.269,42.7721
500,Montserrat,PAISES,-62.1883,16.7298
504,Marruecos,PAISES,-6.2981,31.8381
508,Mozambique,PAISES,38.1448,-14.313
512,Omán,PAISES,57.8117,21.9143
516,Namibia,PAISES,17.2178,-22.1429
520,Nauru,PAISES,166.9333,-0.5275
524,Nepal,PAISES,83.9573,28.2613
528,Países Bajos,PAISES,5.646,52.2932
531,Curaçao,PAISES,-68.875,12.1191
533,Aruba,PAISES,-69.9809,12.5249
534,San Martín (parte holandesa),PAISES,-63.0545,18.0363
535,"Bonaire, San Eustaquio y Saba",PAISES,-68.3079,12.227
540,Nueva Caledonia,PAISES,165.5312,-21.3948
548,Vanuatu,PAISES,167.7031,-16.1959
554,Nueva Zelandia,PAISES,170.4403,-44.0131
558,Nicaragua,PAISES,-85.0476,12.8404
562,El Níger,PAISES,9.413,17.4338
566,Nigeria,PAISES,8.0851,9.5853
570,Niue,PAISES,-169.8584,-19.0524
574,Isla Norfolk,PAISES,167.953,-29.034
578,Noruega,PAISES,11.4948,61.7103
580,Las Islas Marianas del Norte,PAISES,145.6042,15.7746
581,Las Islas Ultramarinas Menores de los Estados Unidos,PAISES,-162.4606,6.4102
583,Estados Federados de Micronesia,PAISES,158.2287,6.8797
584,Las Islas Marshall,PAISES,168.5277,6.7211
585,Palau,PAISES,134.5611,7.4841
586,Pakistán,PAISES,68.8049,29.3982
591,Panamá,PAISES,-80.1223,8.8084
598,Papua Nueva Guinea,PAISES,144.2141,-6.5913
600,Paraguay,PAISES,-58.4232,-23.2139
604,Perú,PAISES,-71.8526,-13.5597
608,Las Filipinas,PAISES,122.8671,11.7347
612,Pitcairn,PAISES,-128.3241,-24.3755
616,Polonia,PAISES,19.4066,52.1309
620,Portugal,PAISES,-7.9703,39.6868
624,Guinea Bissau,PAISES,-14.4508,12.1029
626,Timor-Leste,PAISES,125.9334,-8.7999
630,Puerto Rico,PAISES,-66.4716,18.2326
634,Qatar,PAISES,51.1943,25.2708
642,Rumania,PAISES,24.9778,45.8361
643,La Federación de Rusia,PAISES,99.124,61.6334
646,Rwanda,PAISES,29.9308,-1.9764
652,San Bartolomé,PAISES,-62.822,17.8973
654,"Santa Elena, Ascensión y Tristán de Acuña",PAISES,-10.4275,-25.4529
659,San Cristóbal y Nieves,PAISES,-62.7818,17.3517
660,Anguila,PAISES,-63.0376,18.2241
662,Santa Lucía,PAISES,-60.97,13.8898
666,San Pedro y Miquelón,PAISES,-56.3272,47.0362
670,San Vicente y las Granadinas,PAISES,-61.1881,13.2531
674,San Marino,PAISES,12.471,43.9314
678,Santo Tomé y Príncipe,PAISES,6.5977,0.2355
682,Arabia Saudita,PAISES,44.5537,24.1338
686,Senegal,PAISES,-14.4462,14.367
688,Serbia,PAISES,20.8129,44.0309
690,Seychelles,PAISES,51.8358,-6.6938
694,Sierra leona,PAISES,-11.7847,8.5529
702,Singapur,PAISES,103.8394,1.3262
703,Eslovaquia,PAISES,19.4741,48.7042
704,Vietnam,PAISES,107.5701,11.5307
705,Eslovenia,PAISES,14.8169,46.1277
706,Somalia,PAISES,46.1155,4.3774
710,Sudáfrica,PAISES,24.6736,-29.9966
716,Zimbabwe,PAISES,29.8678,-19.0019
724,España,PAISES,-3.5521,40.3816
728,Sudán del Sur,PAISES,30.3267,7.2866
729,El Sudán,PAISES,29.9584,16.0343
732,Sahara Occidental,PAISES,-13.1416,24.6678
740,Suriname,PAISES,-55.9045,4.1428
744,Svalbard y Jan Mayen,PAISES,13.4842,78.8376
748,Swazilandia,PAISES,31.5155,-26.5825
752,Suecia,PAISES,14.4445,60.6418
756,Suiza,PAISES,8.2129,46.9548
760,República Árabe Siria,PAISES,38.4987,35.0077
762,Tayikistán,PAISES,69.4202,38.5046
764,Tailandia,PAISES,101.0305,15.1496
768,Togo,PAISES,0.9785,8.548
772,Tokelau,PAISES,-171.8539,-9.193
776,Tonga,PAISES,-174.8472,-19.859
780,Trinidad y Tobago,PAISES,-61.267,10.4364
784,Los Emiratos Árabes Unidos,PAISES,53.9824,23.4656
788,Túnez,PAISES,9.5549,33.7421
792,Turquía,PAISES,35.4709,38.9923
795,Turkmenistán,PAISES,59.4192,39.1055
796,Las Islas Turcas y Caicos,PAISES,-71.8562,21.7501
798,Tuvalu,PAISES,178.6907,-7.477
800,Uganda,PAISES,32.389,1.2776
804,Ucrania,PAISES,31.3628,49.0322
807,La ex República Yugoslava de Macedonia,PAISES,21.6966,41.5981
818,Egipto,PAISES,29.759,26.5649
826,Reino Unido,PAISES,-2.1086,53.2786
831,Guernsey,PAISES,-2.5794,49.456
832,Jersey,PAISES,-2.1302,49.2236
833,Isla de Man,PAISES,-4.5444,54.2285
834,República Unida de Tanzania,PAISES,34.802,-6.2595
840,Los Estados Unidos de América,PAISES,-99.1943,39.537
850,Islas Vírgenes de los Estados Unidos,PAISES,-64.7971,17.7318
854,Burkina Faso,PAISES,-1.7352,12.2722
858,Uruguay,PAISES,-56.0061,-32.8049
860,Uzbekistán,PAISES,64.3964,41.2698
862,República Bolivariana de Venezuela,PAISES,-66.1542,7.1089
876,Wallis y Futuna,PAISES,-177.1944,-13.8292
882,Samoa,PAISES,-172.4412,-13.621
887,Yemen,PAISES,45.2867,15.1859
894,Zambia,PAISES,27.8238,-14.6349
