FORECAST DE VENTAS 2020;;;;;;;;;;;;;
Item;202001;202002;202003;202004;202005;202006;202007;202008;202009;202010;202011;202012;Total
44;1.622,00;1.603,88;1.090,39;1.897,02;1.010,25;836,98;980,25;925,00;1.383,51;2.895,56;2.131,48;1.481,54;17.857,86
45;1.342,31;1.115,90;1.402,05;2.538,36;1.568,21;1.203,89;2.171,91;1.249,39;1.687,85;1.780,99;1.789,13;963,33;18.813,32
46;2.445,21;2.395,94;1.301,21;1.351,75;1.976,20;1.091,94;923,93;1.111,97;1.601,79;1.272,05;2.000,89;2.762,53;20.235,41
47;1.792,15;874,16;543,53;616,36;855,06;2.123,58;955,16;226,77;2.382,90;1.586,66;2.621,18;1.794,87;16.372,38
48;612,01;2.423,18;903,82;1.010,22;2.891,96;2.108,02;938,62;637,39;3.018,07;2.856,01;2.600,87;529,20;20.529,37
49;1.180,68;678,28;923,17;1.522,61;1.731,08;597,69;1.350,53;1.748,24;1.983,77;1.431,48;2.128,99;956,64;16.233,16
50;2.303,08;437,24;2.779,05;2.576,46;967,09;940,78;1.430,07;1.299,18;1.387,51;1.070,48;1.848,63;1.136,91;18.176,48
51;1.299,16;1.363,04;796,84;713,99;1.602,61;1.535,32;1.344,54;1.630,63;813,03;1.108,74;922,63;2.819,65;15.950,18
52;1.171,24;1.077,93;1.347,16;1.638,89;480,08;2.644,20;3.321,46;1.163,47;2.610,46;3.646,47;2.834,48;1.131,61;23.067,45
53;1.581,27;777,41;1.020,67;1.120,52;491,35;569,06;1.382,82;973,19;1.308,80;3.962,85;1.077,77;3.469,91;17.735,62
54;845,68;770,88;1.247,12;655,39;1.146,40;1.055,12;1.817,94;1.338,07;2.902,89;1.465,32;1.486,85;589,23;15.320,89
55;2.902,35;912,52;1.075,40;1.128,43;567,37;1.374,49;605,09;973,47;1.273,72;1.383,89;757,05;1.898,71;14.852,49
Total;150.214,38;150.130,91;155.468,91;78.122,56;64.289,87;56.762,82;72.029,35;66.324,63;64.750,44;65.699,26;64.355,46;113.440,16;1.101.588,75
